Title,Genre,Language,Year,Actors,Director
Summer Catch,Drama Comedy Romance,en,2001,Freddie Prinze Jr. Jessica Biel Fred Ward Matthew Lillard Brian Dennehy,Mike Tollin
Born Of War,Action Thriller War,en,2013,James Frain Sofia Black-D'Elia Lydia Leonard Joey Ansah Michael Maloney,Vicky Jewson
Wrong Turn,Horror Thriller,en,2003,Desmond Harrington Eliza Dushku Emmanuelle Chriqui Jeremy Sisto Kevin Zegers,Rob Schmidt
The Switch,Comedy Romance Drama,en,2010,Jason Bateman Jennifer Aniston Jeff Goldblum Juliette Lewis Todd Louiso,Josh Gordon
The Mask,Romance Comedy Crime Fantasy,en,1994,Jim Carrey Cameron Diaz Nancy Fish Tim Bagley Johnny Williams,Chuck Russell
Moby Dick,Adventure Drama,en,1956,Gregory Peck Richard Basehart Leo Genn James Robertson Justice Harry Andrews,John Huston
Poultrygeist: Night of the Chicken Dead,Horror Comedy,en,2006,Jason Yachanin Kate Graham Allyson Sereboff Robin L. Watkins Joshua Olatunde,Lloyd Kaufman
This Thing of Ours,Drama Action Thriller,en,2005,James Caan James Caan Frank Vincent Vincent Pastore Louis Vanaria,Danny Provenzano
Dogtooth,Drama,el,2009,Hristos Passalis Angeliki Papoulia Mary Tsoni Christos Stergioglou Michele Valley,Yorgos Lanthimos
When the Cat's Away,Comedy,fr,1996,Garance Clavel Zinedine Soualem Ren\u00e9e Le Calm Olivier Py Simon Abkarian,C\u00e9dric Klapisch
Nine 1/2 Weeks,Drama Romance,en,1986,Mickey Rourke Kim Basinger Margaret Whitton David Margulies Christine Baranski,Adrian Lyne
Sex and the City,"Comedy,Drama,Romance",NAN,2008,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis",Michael Patrick King
Knockin' on Heaven's Door,"Action, Crime,  Comedy",NAN,1997,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu",Thomas Jahn
Travellers and Magicians,Adventure Drama Foreign,en,2003,Tshewang Dendup Sonam Lhamo Lhakpa Dorji Deki Yangzom Sonam Kinga,Khyentse Norbu
Smokin' Aces,Action Comedy Crime Thriller,en,2006,Ryan Reynolds Ray Liotta Joseph Ruskin Alex Rocco Wayne Newton,Joe Carnahan
40 Days and 40 Nights,Comedy Romance,en,2002,Josh Hartnett Shannyn Sossamon Adam Trese Emmanuelle Vaugier Barry Newman,Michael Lehmann
Sorority Boys,Comedy,en,2002,Barry Watson Michael Rosenbaum Harland Williams Melissa Sagemiller Tony Denman,Wallace Wolodarsky
My Last Day Without You,Comedy Drama Romance,de,2011,Ken Duken Nicole Beharie Reg E. Cathey Marlene Forte Laith Nakli,Stefan C. Schaefer
Live and Let Die,Adventure Action Thriller,en,1973,Roger Moore Yaphet Kotto Jane Seymour Clifton James Julius Harris,Guy Hamilton
Dr. No,Adventure Action Thriller,en,1962,Sean Connery Ursula Andress Joseph Wiseman Jack Lord Bernard Lee,Terence Young
Money Talks,Action Adventure Comedy,en,1997,Chris Tucker Charlie Sheen Heather Locklear Paul Sorvino Elise Neal,Brett Ratner
The Divide,Science Fiction,en,2011,Lauren German Michael Biehn Milo Ventimiglia Courtney B. Vance Ashton Holmes,Xavier Gens
Le salaire de la peur,"Adventure, Drama,  Thriller",NAN,1953,"Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli",Henri-Georges Clouzot
The Act of Killing,Documentary,id,2012,Anwar Congo Herman Koto Syamsul Arifin Ibrahim Sinik Yapto Soerjosoemarno,Joshua Oppenheimer
Fuel,Documentary Drama,en,2008,Joshua Tickell Barbara Boxer Richard Branson George W. Bush Sheryl Crow,Joshua Tickell
Loving Annabelle,Drama Romance,en,2006,Erin Kelly Diane Gaidry Laura Breckenridge Michelle Horn Gustine Fudickar,Katherine Brooks
Emma,Romance Comedy Drama,en,2009,Romola Garai Michael Gambon Jonny Lee Miller Louise Dylan Blake Ritson,Jim O'Hanlon
Our Brand Is Crisis,Comedy Drama,en,2015,Sandra Bullock Anthony Mackie Billy Bob Thornton Zoe Kazan Scoot McNairy,David Gordon Green
A Bigger Splash,"Drama, Music,  Thriller",NAN,2015,"Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson",Luca Guadagnino
Escape from the Planet of the Apes,Action Science Fiction,en,1971,Roddy McDowall Kim Hunter Bradford Dillman Natalie Trundy Eric Braeden,Don Taylor
A Mighty Wind,Comedy Music,en,2003,Bob Balaban Christopher Guest John Michael Higgins Eugene Levy Jane Lynch,Christopher Guest
"Dude, Where's My Car?","Comedy, Mystery,  Sci-Fi",NAN,2000,"Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff",Danny Leiner
Straw Dogs,Drama Thriller,en,2011,James Marsden Kate Bosworth Alexander Skarsg\u00e5rd Dominic Purcell Laz Alonso,Rod Lurie
Beauty Shop,Comedy Romance,en,2005,Queen Latifah Alicia Silverstone Andie MacDowell Alfre Woodard Mena Suvari,Bille Woodruff
Accidental Love,Romance Comedy,en,2015,Jake Gyllenhaal Jessica Biel James Marsden Catherine Keener Paul Reubens,David O. Russell
Forget Me Not,Drama Horror Romance,en,2009,Carly Schroeder Cody Linley Brie Gabrielle Chloe Bridges Micah Alberti,Tyler Oliver
No Country for Old Men,Crime Drama Thriller,en,2007,Tommy Lee Jones Javier Bardem Josh Brolin Woody Harrelson Kelly Macdonald,Joel Coen
August Rush,Drama,en,2007,Freddie Highmore Keri Russell Jonathan Rhys Meyers Terrence Howard Robin Williams,Kirsten Sheridan
Two Lovers,Drama Romance,en,2008,Joaquin Phoenix Gwyneth Paltrow Isabella Rossellini Vinessa Shaw Moni Moshonov,James Gray
How to Be Single,Comedy Romance,en,2016,Dakota Johnson Rebel Wilson Alison Brie Nicholas Braun Damon Wayans Jr.,Christian Ditter
Frozen,Animation Adventure Family,en,2013,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck
Blackthorn,Adventure Action Western,en,2011,Sam Shepard Magaly Solier Eduardo Noriega Stephen Rea Daniel Aguirre,Mateo Gil
Wyatt Earp,Drama Action Western,en,1994,Kevin Costner Dennis Quaid Gene Hackman David Andrews Linden Ashby,Lawrence Kasdan
Barney's Version,Comedy Drama,en,2010,Paul Giamatti Dustin Hoffman Rosamund Pike Minnie Driver Rachelle Lefevre,Richard J. Lewis
The Phantom,Adventure Action,en,1996,Billy Zane Kristy Swanson Treat Williams Catherine Zeta-Jones James Remar,Simon Wincer
King Kong,Adventure Drama Action,en,2005,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
Madea Goes to Jail,Comedy Crime Drama,en,2009,Tyler Perry Derek Luke Keshia Knight Pulliam Whoopi Goldberg Ion Overman,Tyler Perry
Fugly,Comedy Drama Thriller,en,2014,Jimmy Shergill Mohit Marwah Kiara Advani Vijendar Singh Arfi Lamba,Kabir Sadanand
Flightplan,Thriller Drama Mystery,en,2005,Jodie Foster Peter Sarsgaard Sean Bean Kate Beahan Michael Irby,Robert Schwentke
Married Life,Crime Drama Romance,en,2007,Chris Cooper Pierce Brosnan Patricia Clarkson Rachel McAdams David Wenham,Ira Sachs
We're the Millers,Comedy Crime,en,2013,Jason Sudeikis Jennifer Aniston Will Poulter Emma Roberts Ed Helms,Rawson Marshall Thurber
The Road,Adventure Drama,en,2009,Viggo Mortensen Kodi Smit-McPhee Charlize Theron Robert Duvall Guy Pearce,John Hillcoat
Airborne,Action Adventure Comedy,en,1993,Shane McDermott Seth Green Brittney Powell Chris Conrad Edie McClurg,Rob Bowman
The Awakening,Horror Thriller,en,2011,Rebecca Hall Dominic West Imelda Staunton Isaac Hempstead-Wright Lucy Cohu,Nick Murphy 
Zookeeper,Comedy Romance Family,en,2011,Kevin James Rosario Dawson Sylvester Stallone Nick Nolte Jon Favreau,Frank Coraci
Nanny McPhee and the Big Bang,Comedy Fantasy,en,2010,Emma Thompson Asa Butterfield Ralph Fiennes Maggie Gyllenhaal Maggie Smith,Susanna White
The Collection,Horror Thriller,en,2012,Josh Stewart Christopher McDonald Emma Fitzpatrick Lee Tergesen Erin Way,Marcus Dunstan
Bhaag Milkha Bhaag,"Biography, Drama,  Sport",NAN,2013,"Farhan Akhtar, Japtej Singh, Divya Dutta, Pawan Malhotra",Rakeysh Omprakash Mehra
Hesher,Drama,en,2010,Joseph Gordon-Levitt Natalie Portman Rainn Wilson Audrey Wasilewski Frank Collison,Spencer Susser
Sleep Tight,Thriller,es,2011,Luis Tosar Marta Etura  Alberto San Juan Petra Mart\u00ednez Iris Almeida,Jaume Balaguer\u00f3
Couples Retreat,Comedy Romance,en,2009,Vince Vaughn Malin \u00c5kerman Jason Bateman Kristen Bell Jon Favreau,Peter Billingsley
Scream,Crime Horror Mystery,en,1996,David Arquette Neve Campbell Courteney Cox Matthew Lillard Rose McGowan,Wes Craven
The Shining,Horror Thriller,en,1980,Jack Nicholson Shelley Duvall Danny Lloyd Scatman Crothers Barry Nelson,Stanley Kubrick
The Tailor of Panama,Drama Thriller,en,2001,Pierce Brosnan Geoffrey Rush Jamie Lee Curtis Leonor Varela Brendan Gleeson,John Boorman
A Cock and Bull Story,Comedy Drama,en,2005,Steve Coogan Rob Brydon Keeley Hawes Shirley Henderson Raymond Waring,Michael Winterbottom
The Invention of Lying,Comedy Romance Fantasy,en,2009,Ricky Gervais Jennifer Garner Jonah Hill Louis C.K. Jeffrey Tambor,Ricky Gervais
Madea's Family Reunion,Drama Comedy Romance,en,2006,Tyler Perry Blair Underwood Lynn Whitfield Boris Kodjoe Lisa Arrindell,Tyler Perry
Stonewall,Drama,en,2015,Jeremy Irvine Jonny Beauchamp Jonathan Rhys Meyers Ron Perlman Caleb Landry Jones,Roland Emmerich
Last Holiday,Adventure Comedy Drama,en,2006,Queen Latifah LL Cool J Timothy Hutton Giancarlo Esposito Alicia Witt,Wayne Wang
Roadside Romeo,Animation Family Foreign,en,2008,Saif Ali Khan Kareena Kapoor Javed Jaffrey Tanaaz Currim Irani Vrajesh Hirjee,NAN
Independence Daysaster,Action Science Fiction,en,2013,Casey Dubois Iain Belcher Andrea Brooks Nicholas Carella Emily Holmes,W.D. Hogan
The Secret Life of Bees,Adventure,en,2008,Dakota Fanning Queen Latifah Jennifer Hudson Sophie Okonedo Alicia Keys,Gina Prince-Bythewood
Eddie: The Sleepwalking Cannibal,Horror Comedy,en,2012,Thure Lindhardt Dylan Smith Georgina Reilly Alain Goulem Stephen McHattie,Boris Rodriguez
Saw V,Horror Thriller Crime,en,2008,Tobin Bell Costas Mandylor Scott Patterson Betsy Russell Mark Rolston,David Hackl
Roar,Adventure Thriller,en,1981,Tippi Hedren Melanie Griffith Jerry Marshall Kyalo Mativo Rick Glassey,Noel Marshall
Mission: Impossible II,Adventure Action Thriller,en,2000,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh,John Woo
Home Fries,Drama Comedy Romance,en,1998,Drew Barrymore Catherine O'Hara Luke Wilson Jake Busey Shelley Duvall,Dean Parisot
Beasts of the Southern Wild,Drama Fantasy,en,2012,Quvenzhan\u00e9 Wallis Dwight Henry Levy Easterly Gina Montana Lowell Landes,Benh Zeitlin
Being John Malkovich,Fantasy Drama Comedy,en,1999,John Cusack Cameron Diaz Catherine Keener Charlie Sheen John Malkovich,Spike Jonze
Kynodontas,"Drama,Thriller",NAN,2009,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis",Yorgos Lanthimos
Good Dick,Comedy Drama Romance,en,2008,Marianna Palka Jason Ritter Eric Edelstein Martin Starr Mark Webber,Marianna Palka
Bruce Almighty,Fantasy Comedy,en,2003,Jim Carrey Jennifer Aniston Philip Baker Hall Catherine Bell Lisa Ann Walter,Tom Shadyac
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama Comedy War,en,1964,Peter Sellers George C. Scott Sterling Hayden Keenan Wynn Slim Pickens,Stanley Kubrick
The Hurt Locker,Drama Thriller War,en,2008,Jeremy Renner Anthony Mackie Brian Geraghty Guy Pearce Ralph Fiennes,Kathryn Bigelow
Red State,Horror Action Thriller,en,2011,Michael Parks John Goodman Melissa Leo Michael Angarano Kyle Gallner,Kevin Smith
Easy Virtue,Comedy Romance,en,2008,Jessica Biel Ben Barnes Kristin Scott Thomas Colin Firth Kimberley Nixon,Stephan Elliott
Catch a Fire,Action Drama Thriller,en,2006,Tim Robbins Derek Luke Bonnie Henna Mncedisi Shabangu Tumisho Masha,Phillip Noyce
Little Women,Drama Romance,en,1994,Winona Ryder Gabriel Byrne Trini Alvarado Samantha Mathis Kirsten Dunst,Gillian Armstrong
Little Children,Romance Drama,en,2006,Kate Winslet Patrick Wilson Jennifer Connelly Jackie Earle Haley Noah Emmerich,Todd Field
The Love Letter,Comedy Drama Fantasy Romance,en,1998,Campbell Scott Jennifer Jason Leigh David Dukes Estelle Parsons,Dan Curtis
Idle Hands,Thriller Comedy Horror,en,1999,Devon Sawa Seth Green Jessica Alba Vivica A. Fox Christopher Hart,Rodman Flender
Lucky Break,Action Comedy,en,2001,James Nesbitt Olivia Williams Timothy Spall Christopher Plummer Bill Nighy,Peter Cattaneo
"Surfer, Dude",Comedy,en,2008,Matthew McConaughey Jeffrey Nordling Willie Nelson Woody Harrelson Zachary Knighton,S.R. Bindler
The Brain That Wouldn't Die,Horror Science Fiction,en,1962,Jason Evers Virginia Leith Doris Brent Audrey Devereal Eddie Carmel,Joseph Green
The Square,Documentary Drama History,ar,2013,Khalid Abdalla Dina Abdullah Dina Amer Magdy Ashour Ramy Essam,Jehane Noujaim
20 Dates,Romance Comedy,en,1998,Myles Berkowitz Tia Carrere Elisabeth Wagner Richard Arlook Robert McKee,Myles Berkowitz
What the #$*! Do We (K)now!?,Documentary,en,2004,Marlee Matlin Elaine Hendrix Robert Blanche John Ross Bowie Robert Bailey Jr.,William Arntz
Raise the Titanic,Action Drama Thriller,en,1980,M. Emmet Walsh Richard Jordan David Selby Anne Archer Alec Guinness,Jerry Jameson
Elektra,Action Fantasy,en,2005,Jennifer Garner Goran Visnjic Will Yun Lee Cary-Hiroyuki Tagawa Terence Stamp,Rob Bowman
Money Train,Action Comedy Crime,en,1995,Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper,Joseph Ruben
Brooklyn's Finest,Crime Drama Thriller,en,2009,Richard Gere Don Cheadle Ethan Hawke Wesley Snipes Vincent D'Onofrio,Antoine Fuqua
Grave Encounters,Thriller Horror,en,2011,Sean Rogerson Juan Riedinger Ashleigh Gryzko Mackenzie Gray Arthur Corber,Colin Minihan
Valiant,Animation Family Adventure,en,2005,Ewan McGregor Ricky Gervais Tim Curry Jim Broadbent Hugh Laurie,Gary Chapman
Dragon Hunters,Animation Family,fr,2008,Vincent Lindon Patrick Timsit Philippe Nahon Amanda Lear Marie Drion,Guillaume Ivernel
Rock Star,Music Drama Comedy,en,2001,Mark Wahlberg Jennifer Aniston Jason Flemyng Dominic West Jason Bonham,Stephen Herek
Young Adult,Comedy Drama,en,2011,Charlize Theron Patton Oswalt Patrick Wilson Elizabeth Reaser Collette Wolfe,Jason Reitman
The Firm,Drama Mystery Thriller,en,1993,Tom Cruise Jeanne Tripplehorn Gene Hackman Holly Hunter Ed Harris,Sydney Pollack
Like Crazy,Drama Romance,en,2011,Anton Yelchin Felicity Jones Jennifer Lawrence Charlie Bewley Alex Kingston,Drake Doremus
Stir of Echoes,Horror Mystery Thriller,en,1999,Kevin Bacon Kathryn Erbe Illeana Douglas Kevin Dunn Conor O'Farrell,David Koepp
Shotgun Stories,Drama Thriller,en,2007,Michael Shannon Glenda Pannell Lynnsee Provence Douglas Ligon Barlow Jacobs,Jeff Nichols
Hocus Pocus,Comedy Family Fantasy,en,1993,Bette Midler Sarah Jessica Parker Kathy Najimy Omri Katz Thora Birch,Kenny Ortega
Hud,Action Drama Western,en,1963,Paul Newman Melvyn Douglas Patricia Neal Brandon De Wilde Whit Bissell,Martin Ritt
Monsoon Wedding,Comedy Drama Romance,hi,2001,Naseeruddin Shah Lillete Dubey Vijay Raaz Tillotama Shome Vasundhara Das,Mira Nair
The Exorcist,Drama Horror Thriller,en,1973,Linda Blair Max von Sydow Ellen Burstyn Jason Miller Lee J. Cobb,William Friedkin
Mr. Nice Guy,Crime Action Comedy,cn,1997,Jackie Chan Richard Norton Miki Lee Gabrielle Fitzpatrick Karen McLymont,Sammo Hung
Entrapment,Romance Drama Mystery,en,1999,Sean Connery Catherine Zeta-Jones Will Patton Maury Chaykin Ving Rhames,Jon Amiel
Lars and the Real Girl,Comedy Romance Drama,en,2007,Ryan Gosling Emily Mortimer Paul Schneider Kelli Garner Lauren Ash,Craig Gillespie
Die Another Day,Adventure Action Thriller,en,2002,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Lee Tamahori
Higher Ground,Drama Thriller,en,2011,Vera Farmiga Donna Murphy Dagmara Domi\u0144czyk John Hawkes Joshua Leonard,Vera Farmiga
Songcatcher,Drama Music,en,2001,Janet McTeer Michael Davis Michael Goodwin Gregory Russell Cook Jane Adams,Maggie Greenwald
Changeling,Crime Drama Mystery,en,2008,Angelina Jolie Jeffrey Donovan John Malkovich Geoff Pierson Amy Ryan,Clint Eastwood
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,en,2010,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted
Gone in Sixty Seconds,Action Crime Thriller,en,2000,Nicolas Cage Angelina Jolie Giovanni Ribisi Delroy Lindo Will Patton,Dominic Sena
The Story of Us,Comedy Drama Romance,en,1999,Bruce Willis Michelle Pfeiffer Rob Reiner Colleen Rennison Jake Sandvig,Rob Reiner
Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller",NAN,2015,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Giancarlo Esposito",Wes Ball
Meet the Deedles,Animation Comedy Family,en,1998,Paul Walker John Ashton Dennis Hopper Eric Braeden Richard Lineback,Steve Boyum
Water & Power,Crime Drama,en,2014,Enrique Murciano Nicholas Gonzalez Clancy Brown Yvette Yates Rafael Agustin,Richard Montoya
Pulse,Horror Thriller,en,2006,Kristen Bell Ian Somerhalder Christina Milian Rick Gonzalez Jonathan Tucker,Jim Sonzero
Flirting with Disaster,Comedy Romance,en,1996,Ben Stiller Patricia Arquette T\u00e9a Leoni Mary Tyler Moore Alan Alda,David O. Russell
Exit Wounds,Action Crime Thriller,en,2001,Steven Seagal DMX Isaiah Washington Anthony Anderson Bill Duke,Andrzej Bartkowiak
The Life Aquatic with Steve Zissou,Adventure Comedy Drama,en,2004,Bill Murray Anjelica Huston Cate Blanchett Willem Dafoe Owen Wilson,Wes Anderson
Playing for Keeps,Comedy Romance,en,2012,Gerard Butler Jessica Biel Uma Thurman Catherine Zeta-Jones Iqbal Theba,Gabriele Muccino
Your Highness,"Adventure,Comedy,Fantasy",NAN,2011,"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker",David Gordon Green
Jaws 2,Horror Thriller,en,1978,Roy Scheider Lorraine Gary Murray Hamilton Joseph Mascolo Jeffrey Kramer,Jeannot Szwarc
The Conspirator,Crime Drama History,en,2010,Evan Rachel Wood James McAvoy Kevin Kline Robin Wright Alexis Bledel,Robert Redford
The Rose,Drama Music Romance,en,1979,Bette Midler Alan Bates Frederic Forrest Harry Dean Stanton David Keith,Mark Rydell
P.S. I Love You,Drama Romance,en,2007,Hilary Swank Gerard Butler Lisa Kudrow Harry Connick Jr. Gina Gershon,Richard LaGravenese
The Grey,Action Drama Thriller,en,2012,Liam Neeson Dermot Mulroney Frank Grillo Dallas Roberts Joe Anderson,Joe Carnahan
Texas Chainsaw 3D,Horror Thriller,en,2013,Alexandra Daddario Dan Yeager Bill Moseley Marilyn Burns Tania Raymonde,John Luessenhop
Elizabethtown,Comedy Drama Romance,en,2005,Orlando Bloom Kirsten Dunst Susan Sarandon Alec Baldwin Bruce McGill,Cameron Crowe
Pandora's Box,Drama Thriller Romance,de,1929,Louise Brooks Fritz Kortner Francis Lederer Carl Goetz Krafft-Raschig,G.W. Pabst
World's Greatest Dad,Comedy Romance,en,2009,Robin Williams Alexie Gilmore Daryl Sabara Geoff Pierson Henry Simmons,Bobcat Goldthwait
Vanity Fair,Drama Romance,en,2004,Reese Witherspoon James Purefoy Jonathan Rhys Meyers Romola Garai Gabriel Byrne,Mira Nair
Hobo with a Shotgun,Action Comedy Thriller,en,2011,Rutger Hauer Gregory Smith Robb Wells Brian Downey Molly Dunsworth,Jason Eisener
Yeh Jawaani Hai Deewani,Romance,hi,2013,Ranbir Kapoor Deepika Padukone Kalki Koechlin Aditya Roy Kapoor Kunaal Roy Kapur,Ayan Mukherjee
True Lies,Action Thriller,en,1994,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold Bill Paxton Tia Carrere,James Cameron
Jaws: The Revenge,Adventure Thriller,en,1987,Lorraine Gary Lance Guest Mario Van Peebles Michael Caine Karen Young,Joseph Sargent
Crazy Heart,Drama Music Romance,en,2009,Jeff Bridges Maggie Gyllenhaal Colin Farrell Robert Duvall Paul Herman,Scott Cooper
The Glass House,Drama Thriller,en,2001,Leelee Sobieski Diane Lane Stellan Skarsg\u00e5rd Bruce Dern Kathy Baker,Daniel Sackheim
xXx,Action Adventure Thriller,en,2002,Vin Diesel Asia Argento Samuel L. Jackson Danny Trejo Leila Arcieri,Rob Cohen
After,Mystery Thriller,en,2012,Steven Strait Karolina Wydra Sandra Ellis Lafferty Ric Reitz Jackson Walker,Ryan Smith
Out of Time,Thriller Crime Drama,en,2003,Denzel Washington Eva Mendes Sanaa Lathan John Billingsley Dean Cain,Carl Franklin
Inside Out,Drama Comedy Animation Family,en,2015,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
Sorcerer,Action Thriller Adventure,en,1977,Roy Scheider Bruno Cremer Francisco Rabal Amidou Ramon Bieri,William Friedkin
The Other End of the Line,Comedy Romance,en,2008,Jesse Metcalfe Austin Basis Larry Miller Michael Chen Nouva Monika Wahlgren,James Dodson
